ZIP Code,Latitude,Longtitude,Population,Cluster
60458,41.74892,-87.83484,14360,9
60459,41.74436,-87.76872,29122,9
60461,41.51752,-87.69148,4988,8
60462,41.62527,-87.83548,40942,8
60463,41.66084,-87.79033,13687,8
60464,41.67088,-87.86869,9779,8
60465,41.69878,-87.8267,18278,8
60466,41.47966,-87.68276,21243,8
60467,41.59855,-87.88848,25161,8
60468,41.33636,-87.80991,5782,8
60469,41.62871,-87.68634,5423,8
60471,41.48009,-87.72981,13237,8
60472,41.6437,-87.70836,4812,8
60473,41.59733,-87.60115,21695,8
60474,41.1765,-88.26983,684,0
60475,41.47193,-87.6283,10185,8
60476,41.5694,-87.60562,2169,8
60477,41.57347,-87.78597,36543,8
60478,41.55381,-87.73588,16591,8
60480,41.71909,-87.87675,5300,9
60481,41.28795,-88.12952,11303,0
60482,41.68737,-87.79239,11084,8
60484,41.44317,-87.70948,6633,8
60487,41.56236,-87.83095,26198,8
60490,41.67575,-88.14118,22343,7
60491,41.60313,-87.9595,22779,8
60501,41.77979,-87.82393,11655,9
60502,41.78911,-88.25952,23056,7
60503,41.7079,-88.25475,16660,7
60504,41.74649,-88.23957,39128,7
60505,41.76527,-88.29576,59466,7
60506,41.76176,-88.37125,50300,7
60510,41.84283,-88.31189,28393,7
60511,41.75778,-88.55601,1756,4
60512,41.70134,-88.43986,880,4
60513,41.82459,-87.8469,19366,9
60514,41.79655,-87.95683,9691,9
60515,41.80991,-88.0247,29112,7
60516,41.76327,-88.01314,28617,7
60517,41.73913,-88.04161,33282,7
60519,41.77724,-88.24255,70,7
60520,41.7826,-88.65808,2927,4
60521,41.80019,-87.92883,18102,9
60523,41.83713,-87.95406,10179,9
60525,41.78371,-87.86778,31647,9
60526,41.83002,-87.8836,13468,9
60527,41.74472,-87.93383,28983,9
60530,41.79613,-88.95988,901,4
60531,41.61563,-88.78639,2269,4
60532,41.79153,-88.08576,29135,7
60534,41.81311,-87.82066,10670,9
60536,41.59853,-88.55212,88,4
60537,41.56158,-88.60246,551,4
60538,41.72165,-88.35637,30101,7
60539,41.825,-88.33529,246,7
60540,41.76361,-88.14476,42756,7
60541,41.5193,-88.52552,3447,0
60542,41.80878,-88.3489,18105,7
60543,41.66537,-88.32442,40714,7
60544,41.61393,-88.21777,28073,0
60545,41.67815,-88.53587,13704,4
60546,41.83834,-87.82132,16470,9
60548,41.64811,-88.63471,12040,4
60550,41.77708,-88.87777,1177,4
60551,41.52463,-88.68992,4850,4
60552,41.66144,-88.70343,4538,4
60553,41.82399,-89.02806,666,4
60554,41.77852,-88.45838,12029,4
60555,41.82261,-88.18854,14436,7
60556,41.76507,-88.77373,2216,4
60558,41.80207,-87.90076,13557,9
60559,41.79496,-87.97464,24411,9
60560,41.60799,-88.42841,26932,0
60561,41.74518,-87.98174,22997,9
60563,41.79933,-88.16884,38702,7
60564,41.70901,-88.19961,46832,7
60565,41.7297,-88.12312,38942,7
60585,41.65864,-88.22339,24754,7
60586,41.57036,-88.23162,48029,0
60601,41.88527,-87.62197,16398,9
60602,41.88304,-87.62906,938,9
60603,41.88018,-87.6274,1110,9
60604,41.87799,-87.62928,737,9
60605,41.86644,-87.61956,34314,9
60606,41.88178,-87.63724,3513,9
60607,41.87467,-87.65175,28797,9
60608,41.84887,-87.67139,82749,9
60609,41.81263,-87.65559,63241,9
60610,41.90388,-87.63738,42904,9
60611,41.89483,-87.61944,35247,9
60612,41.8805,-87.68783,34459,9
60613,41.9558,-87.65706,51961,9
60614,41.92267,-87.6506,71701,9
60615,41.80226,-87.60293,42780,8
60616,41.84502,-87.62745,52707,9
60617,41.71337,-87.55618,83188,8
60618,41.94694,-87.70263,92235,9
60619,41.74346,-87.60532,60443,8
60620,41.74096,-87.65257,68330,8
60621,41.77624,-87.63955,26997,8
60622,41.90267,-87.68355,53944,9
60623,41.84793,-87.71753,76611,9
60624,41.88045,-87.72366,35664,9
60625,41.97318,-87.69963,80296,9
60626,42.00904,-87.66955,50135,9
60628,41.69165,-87.61828,61419,8
60629,41.7754,-87.71239,108997,9
60630,41.97222,-87.75758,55295,9
60631,41.99473,-87.8131,30418,9
60632,41.81141,-87.71348,86372,9
60633,41.66315,-87.56044,12440,8
60634,41.94627,-87.80639,75873,9
60636,41.77578,-87.66909,29833,8
60637,41.78156,-87.6032,51145,8
60638,41.78175,-87.77057,57799,9
60639,41.9206,-87.75593,85248,9
60640,41.97253,-87.66372,67317,9
60641,41.94667,-87.74693,68968,9
60642,41.90193,-87.65804,21444,9
60643,41.70026,-87.663,48270,8
60644,41.88013,-87.75756,49445,9
60645,42.00859,-87.69457,48692,9
60646,41.99365,-87.76128,28770,9
60647,41.92074,-87.702,85685,9
60649,41.75885,-87.56368,50143,8
60651,41.90202,-87.74104,65229,9
60652,41.74744,-87.71445,42223,8
60653,41.81924,-87.61017,34364,9
60654,41.89209,-87.63673,23475,9
60655,41.69479,-87.70374,28000,8
60656,41.97424,-87.82709,29180,9
60657,41.93965,-87.65495,71192,9
60659,41.98946,-87.70668,42621,9
60660,41.99113,-87.66609,42895,9
60661,41.88291,-87.64409,11513,9
60706,41.96384,-87.81672,24233,9
60707,41.92175,-87.80744,40845,9
60712,42.00543,-87.73296,13268,9
60714,42.02834,-87.81131,30857,9
60803,41.67233,-87.73652,22198,8
60804,41.84005,-87.75925,84189,9
60805,41.72201,-87.70243,19730,8
60827,41.64967,-87.63013,25538,8
60901,41.11029,-87.90049,33968,5
60910,41.06426,-87.79991,581,5
60911,40.87856,-87.98059,1206,5
60912,40.97252,-87.60245,565,5
60913,41.14835,-88.06206,1457,0
60914,41.18706,-87.86194,28443,5
60915,41.14758,-87.86039,10081,5
60917,41.04644,-88.19179,407,0
60922,41.00394,-87.92184,2557,5
60927,40.93933,-87.96744,2233,5
60928,40.74568,-87.85078,559,5
60930,40.83231,-88.00286,768,5
60931,40.8919,-87.58654,594,5
60935,41.17165,-88.16853,1235,0
60938,40.77456,-87.98355,1718,5
60939,40.56696,-87.77714,0,5
60940,41.25188,-87.64259,3399,8
60941,41.03865,-88.0859,1639,0
60942,40.46678,-87.66134,5717,5
60945,40.8315,-87.59236,242,5
60950,41.25135,-87.88494,12081,0
60951,40.91721,-87.74757,759,5
60953,40.62854,-87.6894,2444,5
60954,41.15446,-87.62827,5612,5
60956,40.96775,-87.7163,122,5
60958,41.06523,-87.5916,1476,5
60961,41.10611,-88.23098,898,0
60964,41.03401,-87.7418,4887,5
60966,40.75144,-87.58321,1600,5
60967,40.6241,-87.58123,0,5
60969,41.11101,-88.14975,60,0
60970,40.79221,-87.74039,6025,5
60973,40.53654,-87.66265,406,5
60974,40.71807,-87.73588,310,5
